sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
941.662;941.662;942.312;-3.34076e-16;-1.27092e-15;-1.94556e-15;3.04;3.04;-0.697835;2.46716e-17;-6.6819e-17;-5.85951e-17;0;0;0;0;0;0;3.83131;
928.115;928.115;928.765;-1.23345e-15;-2.10136e-16;3.33901e-16;3;3;-0.695247;-6.16791e-17;-7.40149e-17;-2.26157e-17;0;0;0;0;0;0;3.8597;
914.576;914.576;915.227;-1.54074e-15;1.51646e-15;2.15286e-16;2.96;2.96;-0.69261;-1.64477e-16;3.59794e-17;-9.25186e-18;0;0;0;0;0;0;3.88812;
901.046;901.046;901.698;1.76023e-15;1.6237e-17;3.05461e-16;2.92;2.92;-0.689923;-2.87836e-17;2.77556e-17;1.13078e-17;0;0;0;0;0;0;3.91657;
887.525;887.525;888.178;-1.05284e-15;-2.9982e-16;-3.89589e-16;2.88;2.88;-0.687185;-1.15134e-16;6.16791e-18;-1.85037e-17;0;0;0;0;0;0;3.94506;
874.013;874.013;874.667;2.43361e-15;-1.31686e-15;-5.21351e-16;2.84;2.84;-0.684394;6.5791e-17;-8.63507e-17;-5.34552e-17;0;0;0;0;0;0;3.97359;
860.511;860.511;861.165;-1.05203e-15;9.47683e-16;-3.60593e-16;2.8;2.8;-0.681549;-2.46716e-17;-1.02798e-17;-7.60708e-17;0;0;0;0;0;0;4.00215;
847.018;847.018;847.673;-1.35302e-15;1.67908e-16;2.04854e-15;2.76;2.76;-0.678647;-1.15134e-16;-4.11194e-18;7.29869e-17;0;0;0;0;0;0;4.03074;
833.536;833.536;834.192;1.43199e-15;5.59463e-16;-7.40915e-16;2.72;2.72;-0.675688;-4.11194e-18;3.49515e-17;7.19589e-18;0;0;0;0;0;0;4.05938;
820.064;820.064;820.721;1.81006e-16;-1.61501e-15;-9.6733e-16;2.68;2.68;-0.672669;0;-8.42947e-17;-5.75671e-17;0;0;0;0;0;0;4.08806;
806.603;806.603;807.26;-1.13127e-15;2.76322e-16;5.32943e-16;2.64;2.64;-0.669588;-8.22387e-17;-5.44832e-17;-1.33638e-17;0;0;0;0;0;0;4.11677;
